,dt,activity_count,daily_new_cases,cumulative_cases,daily_new_deaths,cumulative_deaths
203,2021-07-23,181,799648,192937937,10292,4162681
204,2021-07-24,170,513294,193451231,8363,4171044
205,2021-07-25,164,551659,194002890,8272,4179316
206,2021-07-26,208,443927,194446817,8291,4187607
207,2021-07-27,198,425598,194872415,8742,4196349
208,2021-07-28,218,528399,195400814,8257,4204606
209,2021-07-29,332,572910,195973724,9445,4214051
210,2021-07-30,180,1023813,196997537,12007,4226058
211,2021-07-31,111,541317,197538854,9095,4235153
212,2021-08-01,78,509090,198047944,8553,4243706
213,2021-08-02,147,464136,198512080,8155,4251861
214,2021-08-03,218,446954,198959034,9324,4261185
215,2021-08-04,145,521646,199480680,8691,4269876
216,2021-08-05,183,566823,200047503,9416,4279292
217,2021-08-06,256,1267686,201315189,13024,4292316
218,2021-08-07,118,558802,201873991,9640,4301956
219,2021-08-08,131,515568,202389559,8624,4310580
220,2021-08-09,142,476740,202866299,9508,4320088
221,2021-08-10,176,431867,203298166,8607,4328695
222,2021-08-11,138,523900,203822066,8654,4337349
223,2021-08-12,87,562438,204384504,9510,4346859
224,2021-08-13,80,1464393,205848897,14586,4361445
225,2021-08-14,68,563398,206412295,9314,4370759
226,2021-08-15,78,503037,206915332,8545,4379304
227,2021-08-16,123,449871,207365203,9414,4388718
228,2021-08-17,97,435641,207800844,8112,4396830
229,2021-08-18,59,517795,208318639,8652,4405482
230,2021-08-19,83,585364,208904003,9824,4415306
231,2021-08-20,119,1558294,210462297,15656,4430962
232,2021-08-21,110,533556,210995853,9113,4440075
233,2021-08-22,53,486452,211482305,8207,4448282
234,2021-08-23,107,430302,211912607,9349,4457631
235,2021-08-24,161,425441,212338048,7879,4465510
236,2021-08-25,88,524589,212862637,8971,4474481
237,2021-08-26,58,555730,213418367,9368,4483849
238,2021-08-27,102,1542232,214960599,16573,4500422
239,2021-08-28,104,528729,215489328,8681,4509103
240,2021-08-29,105,477806,215967134,8071,4517174
241,2021-08-30,84,421349,216388483,7615,4524789
242,2021-08-31,187,403768,216792251,8486,4533275
243,2021-09-01,242,467667,217259918,7591,4540866
244,2021-09-02,95,515251,217775169,8953,4549819
245,2021-09-03,82,1669140,219444309,18207,4568026
246,2021-09-04,89,488386,219932695,7954,4575980
247,2021-09-05,101,430036,220362731,7332,4583312
248,2021-09-06,140,387416,220750147,7769,4591081
249,2021-09-07,129,381674,221131821,7232,4598313
250,2021-09-08,152,444032,221575853,7530,4605843
251,2021-09-09,116,454122,222029975,7420,4613263
252,2021-09-10,95,1490224,223520199,17486,4630749
253,2021-09-11,70,435321,223955520,7250,4637999
254,2021-09-12,101,388628,224344148,6717,4644716
255,2021-09-13,71,339203,224683351,7058,4651774
256,2021-09-14,176,349781,225033132,6407,4658181
257,2021-09-15,133,397838,225430970,6737,4664918
258,2021-09-16,72,405163,225836133,7182,4672100
259,2021-09-17,126,1476164,227312297,20846,4692946
260,2021-09-18,68,409714,227722011,6607,4699553
261,2021-09-19,67,359066,228081077,5922,4705475
262,2021-09-20,57,456581,228537658,6541,4712016
263,2021-09-21,60,332777,228870435,5559,4717575
264,2021-09-22,65,377863,229248298,6194,4723769
265,2021-09-23,116,376564,229624862,6272,4730041
266,2021-09-24,107,1318903,230943765,21324,4751365
267,2021-09-25,84,379217,231322982,5477,4756842
268,2021-09-26,207,337079,231660061,5248,4762090
269,2021-09-27,221,303759,231963820,5174,4767264
270,2021-09-28,220,304514,232268334,5325,4772589
