Date,Sephora,Ulta,Fenty,Glossier
2021-07-06,67,51,41,23
2021-07-07,66,52,34,22
2021-07-08,71,60,27,25
2021-07-09,70,60,34,29
2021-07-10,72,63,26,31
2021-07-11,72,58,31,25
2021-07-12,67,51,34,21
2021-07-13,73,53,27,23
2021-07-14,71,54,30,25
2021-07-15,82,58,28,22
2021-07-16,75,64,24,28
2021-07-17,75,69,27,26
2021-07-18,73,65,29,30
2021-07-19,67,51,27,21
2021-07-20,65,51,20,28
2021-07-21,63,55,19,34
2021-07-22,73,60,23,30
2021-07-23,70,58,16,23
2021-07-24,71,62,20,28
2021-07-25,68,61,23,27
2021-07-26,63,51,21,27
2021-07-27,67,55,21,26
2021-07-28,66,55,20,21
2021-07-29,71,61,27,29
2021-07-30,69,63,22,26
2021-07-31,70,65,22,28
2021-08-01,70,71,59,26
2021-08-02,66,57,58,25
2021-08-03,65,53,49,22
2021-08-04,68,59,63,21
2021-08-05,66,61,69,20
2021-08-06,66,55,41,20
2021-08-07,69,63,32,22
2021-08-08,67,63,39,22
2021-08-09,61,48,32,21
2021-08-10,69,51,31,25
2021-08-11,66,52,27,24
2021-08-12,63,54,29,24
2021-08-13,58,58,28,20
2021-08-14,68,62,27,27
2021-08-15,69,72,28,28
2021-08-16,60,53,28,24
2021-08-17,65,54,27,28
2021-08-18,67,53,23,26
2021-08-19,63,53,30,21
2021-08-20,67,58,19,23
2021-08-21,64,62,26,30
2021-08-22,65,61,27,27
2021-08-23,62,52,27,21
2021-08-24,71,73,34,29
2021-08-25,67,53,21,24
2021-08-26,69,59,28,20
2021-08-27,62,56,26,24
2021-08-28,66,72,26,19
2021-08-29,70,74,26,24
2021-08-30,64,53,22,21
2021-08-31,65,56,25,25
2021-09-01,71,65,77,23
2021-09-02,28,29,57,15
2021-09-03,29,31,52,15
2021-09-04,31,36,48,16
2021-09-05,30,33,58,20
2021-09-06,28,33,49,23
2021-09-07,26,27,42,27
2021-09-08,28,27,33,16
2021-09-09,30,26,27,18
2021-09-10,29,29,27,17
2021-09-11,32,35,24,18
2021-09-12,29,34,28,23
2021-09-13,27,25,28,18
2021-09-14,27,26,25,20
2021-09-15,30,26,26,18
2021-09-16,31,28,23,19
2021-09-17,31,31,26,15
2021-09-18,36,34,26,17
2021-09-19,33,30,25,22
2021-09-20,28,22,22,23
2021-09-21,28,22,29,12
2021-09-22,30,24,31,19
2021-09-23,28,25,35,16
2021-09-24,30,26,80,16
2021-09-25,33,31,100,20
2021-09-26,31,31,89,22
2021-09-27,27,23,59,18
2021-09-28,29,25,45,21
2021-09-29,29,24,46,19
2021-09-30,28,26,41,21
2021-10-01,33,31,76,19
2021-10-02,33,33,66,21
2021-10-03,32,31,62,27
2021-10-04,28,26,55,20
2021-10-05,30,26,53,20
2021-10-06,32,26,40,19
2021-10-07,32,28,44,17
2021-10-08,31,31,41,20
2021-10-09,36,37,39,28
2021-10-10,37,35,40,22
2021-10-11,30,28,36,16
2021-10-12,28,25,33,22
2021-10-13,30,27,35,23
2021-10-14,31,26,30,20
2021-10-15,33,30,31,20
2021-10-16,34,34,31,22
2021-10-17,35,31,34,26
2021-10-18,29,24,31,23
2021-10-19,29,27,31,34
2021-10-20,31,26,28,29
2021-10-21,31,26,26,21
2021-10-22,30,29,27,23
2021-10-23,34,34,29,23
2021-10-24,34,31,32,26
2021-10-25,30,23,23,24
2021-10-26,30,25,30,25
2021-10-27,35,25,21,24
2021-10-28,35,27,22,23
2021-10-29,33,30,22,20
2021-10-30,36,34,20,22
2021-10-31,35,29,27,25
2021-11-01,34,24,78,23
2021-11-02,40,26,62,19
2021-11-03,38,27,52,19
2021-11-04,39,30,62,22
2021-11-05,48,33,45,27
2021-11-06,49,38,45,32
2021-11-07,52,38,44,33
2021-11-08,42,28,30,25
2021-11-09,43,34,26,29
2021-11-10,49,32,33,34
2021-11-11,53,33,28,35
2021-11-12,46,35,27,29
2021-11-13,49,40,29,36
2021-11-14,50,44,33,49
2021-11-15,47,35,29,33
2021-11-16,43,34,26,31
2021-11-17,40,34,28,34
2021-11-18,40,32,23,29
2021-11-19,46,35,25,33
2021-11-20,50,44,26,37
2021-11-21,52,56,28,48
2021-11-22,48,42,28,39
2021-11-23,47,43,30,36
2021-11-24,54,46,28,43
2021-11-25,62,47,31,74
2021-11-26,100,100,62,100
2021-11-27,76,67,68,77
2021-11-28,63,53,71,72
2021-11-29,58,53,66,64
2021-11-30,47,49,62,49
2021-12-01,49,36,76,33
2021-12-02,46,39,55,26
2021-12-03,46,42,53,30
2021-12-04,50,52,57,38
2021-12-05,51,48,48,43
2021-12-06,44,36,41,35
2021-12-07,44,38,36,33
2021-12-08,47,38,35,35
2021-12-09,46,39,29,29
2021-12-10,48,46,35,33
2021-12-11,56,55,35,44
2021-12-12,54,49,35,39
2021-12-13,49,42,34,33
2021-12-14,45,43,30,39
2021-12-15,45,44,33,31
2021-12-16,50,44,33,26
2021-12-17,49,53,31,26
2021-12-18,54,64,35,34
2021-12-19,58,65,31,36
2021-12-20,49,52,25,28
2021-12-21,50,53,25,25
2021-12-22,52,57,27,26
2021-12-23,51,65,25,29
2021-12-24,54,68,24,21
2021-12-25,61,37,33,48
2021-12-26,60,61,37,61
2021-12-27,49,56,37,39
2021-12-28,46,44,33,42
2021-12-29,46,43,28,37
2021-12-30,44,47,32,33
2021-12-31,39,52,34,27
2022-01-01,37,41,64,35
2022-01-02,42,42,63,43
2022-01-03,37,32,61,32
2022-01-04,42,35,74,34
2022-01-05,29,24,45,22
2022-01-06,29,24,35,23
2022-01-07,36,30,40,27
2022-01-08,40,37,56,33
2022-01-09,39,39,54,32
2022-01-10,31,28,42,24
2022-01-11,31,27,37,31
2022-01-12,39,25,41,25
2022-01-13,30,23,28,20
2022-01-14,29,24,29,20
2022-01-15,36,32,36,30
2022-01-16,32,28,28,30
2022-01-17,29,23,41,25
2022-01-18,28,22,47,28
2022-01-19,29,22,44,25
2022-01-20,30,25,49,27
2022-01-21,33,27,34,27
2022-01-22,37,34,45,34
2022-01-23,36,34,45,35
2022-01-24,26,21,30,23
2022-01-25,26,21,30,23
2022-01-26,31,22,30,19
2022-01-27,30,22,35,32
2022-01-28,32,27,30,32
2022-01-29,37,34,33,30
2022-01-30,39,34,45,33
2022-01-31,31,24,48,27
2022-02-01,30,24,73,24
2022-02-02,31,24,62,30
2022-02-03,34,25,63,26
2022-02-04,34,27,60,27
2022-02-05,39,37,55,25
2022-02-06,35,35,42,29
2022-02-07,33,25,36,24
2022-02-08,30,23,27,26
2022-02-09,33,25,26,22
2022-02-10,27,23,22,19
2022-02-11,36,31,28,26
2022-02-12,40,34,26,27
2022-02-13,34,31,28,24
2022-02-14,29,23,26,24
2022-02-15,28,23,24,25
2022-02-16,29,25,20,24
2022-02-17,28,25,22,21
2022-02-18,29,30,21,27
2022-02-19,32,34,21,29
2022-02-20,32,34,28,29
2022-02-21,29,28,22,25
2022-02-22,32,25,18,25
2022-02-23,28,24,20,23
2022-02-24,25,25,20,22
2022-02-25,29,28,20,22
2022-02-26,33,32,22,27
2022-02-27,33,34,22,31
2022-02-28,30,25,22,22
2022-03-01,29,25,45,24
2022-03-02,26,27,39,19
2022-03-03,32,26,32,21
2022-03-04,33,30,35,22
2022-03-05,34,35,34,25
2022-03-06,36,33,27,26
2022-03-07,32,26,24,26
2022-03-08,30,26,22,23
2022-03-09,28,25,23,22
2022-03-10,31,29,21,23
